"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_002E","B25004_002M","B25004_003E","B25004_003M","B25004_004E","B25004_004M","B25004_005E","B25004_005M","B25004_006E","B25004_006M","B25004_007E","B25004_007M","B25004_008E","B25004_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!For rent","Margin of Error!!Total:!!For rent","Estimate!!Total:!!Rented, not occupied","Margin of Error!!Total:!!Rented, not occupied","Estimate!!Total:!!For sale only","Margin of Error!!Total:!!For sale only","Estimate!!Total:!!Sold, not occupied","Margin of Error!!Total:!!Sold, not occupied","Estimate!!Total:!!For seasonal, recreational, or occasional use","Margin of Error!!Total:!!For seasonal, recreational, or occasional use","Estimate!!Total:!!For migrant workers","Margin of Error!!Total:!!For migrant workers","Estimate!!Total:!!Other vacant","Margin of Error!!Total:!!Other vacant",
"1400000US36005018501","Census Tract 185.01, Bronx County, New York","19","36","19","36","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US36005018502","Census Tract 185.02, Bronx County, New York","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US36005018900","Census Tract 189, Bronx County, New York","84","89","33","56","0","18","0","18","0","18","20","33","0","18","31","50",
"1400000US36005019300","Census Tract 193, Bronx County, New York","64","71","32","51","0","18","0","18","0","18","32","51","0","18","0","18",
"1400000US36005019400","Census Tract 194, Bronx County, New York","59","42","9","11","0","13","0","13","13","20","0","13","0","13","37","36",
"1400000US36005019500","Census Tract 195, Bronx County, New York","40","43","27","35","0","18","0","18","0","18","0","18","0","18","13","23",
"1400000US36005019700","Census Tract 197, Bronx County, New York","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US36005019900","Census Tract 199, Bronx County, New York","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US36005020000","Census Tract 200, Bronx County, New York","65","53","25","35","8","13","0","18","0","18","0","18","0","18","32","38",
"1400000US36005020100","Census Tract 201, Bronx County, New York","122","65","0","13","25","41","0","13","0","13","0","13","0","13","97","68",
"1400000US36005020200","Census Tract 202, Bronx County, New York","64","39","44","36","20","21","0","13","0","13","0","13","0","13","0","13",
"1400000US36005020400","Census Tract 204, Bronx County, New York","85","45","38","31","0","13","0","13","0","13","0","13","0","13","47","35",
"1400000US36005020501","Census Tract 205.01, Bronx County, New York","39","46","39","46","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US36005020502","Census Tract 205.02, Bronx County, New York","11","18","0","13","0","13","0","13","0","13","0","13","0","13","11","18",
"1400000US36005020601","Census Tract 206.01, Bronx County, New York","111","70","20","33","0","13","0","13","0","13","21","34","0","13","70","50",
"1400000US36005020900","Census Tract 209, Bronx County, New York","77","129","77","129","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US36005021001","Census Tract 210.01, Bronx County, New York","262","151","262","151","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US36005021002","Census Tract 210.02, Bronx County, New York","78","85","39","62","39","62","0","18","0","18","0","18","0","18","0","18",
"1400000US36005021100","Census Tract 211, Bronx County, New York","33","38","0","18","0","18","0","18","0","18","0","18","0","18","33","38",
"1400000US36005021200","Census Tract 212, Bronx County, New York","91","107","36","56","0","18","0","18","0","18","0","18","0","18","55","93",
"1400000US36005021301","Census Tract 213.01, Bronx County, New York","3","9","0","13","0","13","0","13","0","13","0","13","0","13","3","9",
"1400000US36005021302","Census Tract 213.02, Bronx County, New York","121","98","49","60","0","18","0","18","0","18","0","18","0","18","72","83",
"1400000US36005021501","Census Tract 215.01, Bronx County, New York","47","44","20","31","0","13","0","13","0","13","0","13","0","13","27","32",
