GEO_ID,NAME,B25004_001E,B25004_001M,B25004_002E,B25004_002M,B25004_003E,B25004_003M,B25004_004E,B25004_004M,B25004_005E,B25004_005M,B25004_006E,B25004_006M,B25004_007E,B25004_007M,B25004_008E,B25004_008M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!For rent,Margin of Error!!Total!!For rent,"Estimate!!Total!!Rented, not occupied","Margin of Error!!Total!!Rented, not occupied",Estimate!!Total!!For sale only,Margin of Error!!Total!!For sale only,"Estimate!!Total!!Sold, not occupied","Margin of Error!!Total!!Sold, not occupied","Estimate!!Total!!For seasonal, recreational, or occasional use","Margin of Error!!Total!!For seasonal, recreational, or occasional use",Estimate!!Total!!For migrant workers,Margin of Error!!Total!!For migrant workers,Estimate!!Total!!Other vacant,Margin of Error!!Total!!Other vacant
1400000US36061020600,"Census Tract 206, New York County, New York",240,90,94,68,0,12,20,31,0,12,0,12,0,12,126,74
1400000US36061020701,"Census Tract 207.01, New York County, New York",170,82,76,69,16,28,26,43,0,12,0,12,0,12,52,51
1400000US36061020800,"Census Tract 208, New York County, New York",436,127,104,76,0,17,38,46,25,41,0,17,0,17,269,109
1400000US36061020901,"Census Tract 209.01, New York County, New York",119,74,57,51,21,34,0,12,0,12,0,12,0,12,41,45
1400000US36061021000,"Census Tract 210, New York County, New York",166,127,109,102,0,17,0,17,28,47,0,17,0,17,29,46
1400000US36061021100,"Census Tract 211, New York County, New York",441,269,257,205,0,19,0,19,134,134,24,38,0,19,26,41
1400000US36061021200,"Census Tract 212, New York County, New York",319,134,186,104,30,51,0,12,0,12,20,35,0,12,83,79
1400000US36061021303,"Census Tract 213.03, New York County, New York",239,120,208,110,0,17,31,51,0,17,0,17,0,17,0,17
1400000US36061021400,"Census Tract 214, New York County, New York",127,69,76,61,30,43,0,12,0,12,21,32,0,12,0,12
1400000US36061021500,"Census Tract 215, New York County, New York",30,36,19,31,0,12,0,12,0,12,0,12,0,12,11,18
1400000US36061021600,"Census Tract 216, New York County, New York",374,152,44,52,0,17,29,47,0,17,14,21,0,17,287,128
1400000US36061021703,"Census Tract 217.03, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061021800,"Census Tract 218, New York County, New York",237,144,140,108,30,50,0,17,31,50,0,17,0,17,36,59
1400000US36061021900,"Census Tract 219, New York County, New York",95,87,0,17,0,17,0,17,0,17,0,17,0,17,95,87
1400000US36061022000,"Census Tract 220, New York County, New York",451,164,159,97,0,17,26,42,47,53,53,65,0,17,166,98
1400000US36061022102,"Census Tract 221.02, New York County, New York",146,89,37,43,27,42,0,12,0,12,0,12,0,12,82,71
1400000US36061022200,"Census Tract 222, New York County, New York",202,68,102,50,7,11,0,12,49,45,0,12,0,12,44,32
1400000US36061022301,"Census Tract 223.01, New York County, New York",102,76,0,17,22,38,0,17,0,17,0,17,0,17,80,72
1400000US36061022302,"Census Tract 223.02, New York County, New York",19,30,0,12,0,12,0,12,0,12,0,12,0,12,19,30
1400000US36061022400,"Census Tract 224, New York County, New York",281,120,143,99,0,17,0,17,0,17,18,30,0,17,120,98
1400000US36061022500,"Census Tract 225, New York County, New York",428,203,63,72,31,49,0,19,0,19,15,25,0,19,319,173
1400000US36061022600,"Census Tract 226, New York County, New York",373,138,151,87,24,37,0,12,23,37,40,47,0,12,135,87
1400000US36061022700,"Census Tract 227, New York County, New York",259,111,61,57,21,35,20,35,0,17,20,32,38,42,99,69
1400000US36061022800,"Census Tract 228, New York County, New York",199,111,0,17,29,47,0,17,58,65,0,17,0,17,112,80
1400000US36061022900,"Census Tract 229, New York County, New York",171,109,0,17,0,17,25,41,0,17,0,17,0,17,146,103
1400000US36061023000,"Census Tract 230, New York County, New York",453,172,176,114,84,80,0,17,25,40,19,30,0,17,149,91
1400000US36061023100,"Census Tract 231, New York County, New York",403,146,70,65,78,72,24,39,0,17,38,39,0,17,193,101
1400000US36061023200,"Census Tract 232, New York County, New York",201,131,67,69,0,17,0,17,0,17,0,17,0,17,134,109
1400000US36061023300,"Census Tract 233, New York County, New York",189,92,0,17,0,17,26,42,0,17,0,17,0,17,163,86
1400000US36061023400,"Census Tract 234, New York County, New York",137,97,62,67,33,49,0,17,0,17,21,33,0,17,21,35
1400000US36061023501,"Census Tract 235.01, New York County, New York",189,109,127,89,0,17,0,17,0,17,0,17,0,17,62,66
1400000US36061023502,"Census Tract 235.02, New York County, New York",135,54,49,42,11,17,0,12,0,12,0,12,0,12,75,43
1400000US36061023600,"Census Tract 236, New York County, New York",199,132,44,68,0,17,0,17,0,17,0,17,0,17,155,107
1400000US36061023700,"Census Tract 237, New York County, New York",141,90,12,18,56,61,0,17,0,17,0,17,0,17,73,66
1400000US36061023801,"Census Tract 238.01, New York County, New York",545,306,305,223,56,91,59,95,0,17,65,103,0,17,60,99
1400000US36061023802,"Census Tract 238.02, New York County, New York",134,56,80,49,3,5,0,12,0,12,36,35,0,12,15,24
1400000US36061023900,"Census Tract 239, New York County, New York",18,29,0,12,0,12,0,12,0,12,18,29,0,12,0,12
1400000US36061024000,"Census Tract 240, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061024100,"Census Tract 241, New York County, New York",287,147,0,17,0,17,35,56,36,59,82,90,0,17,134,101
1400000US36061024200,"Census Tract 242, New York County, New York",94,59,61,49,11,18,0,12,0,12,0,12,0,12,22,36
1400000US36061024301,"Census Tract 243.01, New York County, New York",99,67,0,12,0,12,0,12,0,12,18,30,0,12,81,61
1400000US36061024302,"Census Tract 243.02, New York County, New York",82,80,21,33,61,73,0,17,0,17,0,17,0,17,0,17
1400000US36061024500,"Census Tract 245, New York County, New York",386,211,149,138,0,19,0,19,0,19,109,126,0,19,128,117
1400000US36061024700,"Census Tract 247, New York County, New York",101,104,50,68,0,17,0,17,0,17,0,17,0,17,51,81
1400000US36061024900,"Census Tract 249, New York County, New York",21,22,0,12,0,12,0,12,0,12,0,12,0,12,21,22
1400000US36061025100,"Census Tract 251, New York County, New York",115,50,22,23,0,12,0,12,0,12,10,15,0,12,83,42
1400000US36061025300,"Census Tract 253, New York County, New York",181,119,0,19,70,79,0,19,0,19,32,48,0,19,79,77
1400000US36061025500,"Census Tract 255, New York County, New York",86,96,39,61,0,17,0,17,0,17,0,17,0,17,47,76
1400000US36061025700,"Census Tract 257, New York County, New York",166,76,108,59,13,21,16,25,29,31,0,12,0,12,0,12
1400000US36061025900,"Census Tract 259, New York County, New York",122,68,49,44,0,12,7,13,0,12,16,26,0,12,50,47
1400000US36061026100,"Census Tract 261, New York County, New York",248,151,37,53,34,53,0,19,0,19,51,63,0,19,126,101
1400000US36061026300,"Census Tract 263, New York County, New York",38,60,38,60,0,17,0,17,0,17,0,17,0,17,0,17
1400000US36061026500,"Census Tract 265, New York County, New York",255,120,0,17,0,17,34,39,0,17,62,61,0,17,159,109
1400000US36061026700,"Census Tract 267, New York County, New York",79,39,24,25,14,22,0,12,0,12,5,7,0,12,36,25
1400000US36061026900,"Census Tract 269, New York County, New York",143,110,29,46,29,48,0,17,0,17,0,17,0,17,85,88
1400000US36061027100,"Census Tract 271, New York County, New York",79,61,79,61,0,17,0,17,0,17,0,17,0,17,0,17
1400000US36061027300,"Census Tract 273, New York County, New York",305,172,85,97,0,17,0,17,19,30,58,73,0,17,143,96
1400000US36061027500,"Census Tract 275, New York County, New York",121,72,0,12,0,12,27,30,0,12,27,42,0,12,67,58
1400000US36061027700,"Census Tract 277, New York County, New York",113,90,71,80,0,17,0,17,0,17,0,17,0,17,42,49
1400000US36061027900,"Census Tract 279, New York County, New York",296,143,110,101,0,19,36,57,0,19,15,23,0,19,135,106
1400000US36061028100,"Census Tract 281, New York County, New York",24,27,0,12,0,12,0,12,0,12,18,27,0,12,6,11
1400000US36061028300,"Census Tract 283, New York County, New York",145,110,38,52,44,69,29,46,0,17,0,17,0,17,34,53
1400000US36061028500,"Census Tract 285, New York County, New York",237,111,33,44,0,17,0,17,29,47,87,75,0,17,88,79
1400000US36061028700,"Census Tract 287, New York County, New York",201,83,69,60,0,12,0,12,0,12,20,29,0,12,112,77
1400000US36061029100,"Census Tract 291, New York County, New York",77,77,23,38,0,19,20,34,0,19,34,54,0,19,0,19
1400000US36061029300,"Census Tract 293, New York County, New York",102,104,56,66,0,17,0,17,0,17,0,17,0,17,46,77
1400000US36061029500,"Census Tract 295, New York County, New York",124,112,76,82,48,78,0,17,0,17,0,17,0,17,0,17
1400000US36061029700,"Census Tract 297, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061029900,"Census Tract 299, New York County, New York",36,40,0,12,0,12,18,29,0,12,18,28,0,12,0,12
