"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_002E","B25004_002M","B25004_003E","B25004_003M","B25004_004E","B25004_004M","B25004_005E","B25004_005M","B25004_006E","B25004_006M","B25004_007E","B25004_007M","B25004_008E","B25004_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!For rent","Margin of Error!!Total:!!For rent","Estimate!!Total:!!Rented, not occupied","Margin of Error!!Total:!!Rented, not occupied","Estimate!!Total:!!For sale only","Margin of Error!!Total:!!For sale only","Estimate!!Total:!!Sold, not occupied","Margin of Error!!Total:!!Sold, not occupied","Estimate!!Total:!!For seasonal, recreational, or occasional use","Margin of Error!!Total:!!For seasonal, recreational, or occasional use","Estimate!!Total:!!For migrant workers","Margin of Error!!Total:!!For migrant workers","Estimate!!Total:!!Other vacant","Margin of Error!!Total:!!Other vacant",
"1400000US36001000100","Census Tract 1, Albany County, New York","140","55","10","15","0","12","35","30","14","21","0","12","0","12","81","44",
"1400000US36001000201","Census Tract 2.01, Albany County, New York","479","141","52","54","89","88","9","25","0","12","0","12","0","12","329","132",
"1400000US36001000202","Census Tract 2.02, Albany County, New York","126","69","0","12","0","12","25","42","0","12","0","12","0","12","101","69",
"1400000US36001000301","Census Tract 3.01, Albany County, New York","368","222","90","103","0","12","0","12","0","12","58","93","0","12","220","205",
"1400000US36001000302","Census Tract 3.02, Albany County, New York","318","210","75","60","39","60","0","12","0","12","35","57","0","12","169","192",
"1400000US36001000401","Census Tract 4.01, Albany County, New York","99","58","58","45","0","12","21","28","0","12","0","12","0","12","20","25",
"1400000US36001000403","Census Tract 4.03, Albany County, New York","231","145","97","111","0","12","0","12","0","12","32","34","0","12","102","98",
"1400000US36001000404","Census Tract 4.04, Albany County, New York","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17",
"1400000US36001000501","Census Tract 5.01, Albany County, New York","278","116","0","12","23","38","28","35","0","12","0","12","0","12","227","113",
"1400000US36001000502","Census Tract 5.02, Albany County, New York","143","86","0","12","0","12","19","31","8","14","10","17","0","12","106","82",
"1400000US36001000600","Census Tract 6, Albany County, New York","312","129","44","58","0","12","31","50","0","12","0","12","0","12","237","99",
"1400000US36001000700","Census Tract 7, Albany County, New York","616","158","57","43","0","12","72","53","0","12","0","12","0","12","487","149",
"1400000US36001000800","Census Tract 8, Albany County, New York","344","96","19","30","10","16","70","52","0","12","0","12","0","12","245","90",
"1400000US36001001100","Census Tract 11, Albany County, New York","140","68","40","38","0","12","14","24","0","12","0","12","0","12","86","53",
"1400000US36001001400","Census Tract 14, Albany County, New York","173","132","125","110","0","12","0","12","0","12","0","12","0","12","48","78",
"1400000US36001001500","Census Tract 15, Albany County, New York","464","154","322","141","72","82","0","12","0","12","0","12","0","12","70","82",
"1400000US36001001600","Census Tract 16, Albany County, New York","223","100","92","70","24","38","0","12","0","12","0","12","0","12","107","89",
"1400000US36001001700","Census Tract 17, Albany County, New York","155","70","123","75","0","12","0","12","0","12","0","12","0","12","32","40",
"1400000US36001001802","Census Tract 18.02, Albany County, New York","219","123","0","12","23","36","56","78","0","12","0","12","0","12","140","107",
"1400000US36001001803","Census Tract 18.03, Albany County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1400000US36001001804","Census Tract 18.04, Albany County, New York","113","115","40","66","0","12","0","12","0","12","0","12","0","12","73","95",
"1400000US36001001901","Census Tract 19.01, Albany County, New York","124","102","29","45","0","12","0","12","95","90","0","12","0","12","0","12",
"1400000US36001001902","Census Tract 19.02, Albany County, New York","148","91","16","26","27","41","0","12","0","12","0","12","0","12","105","81",
"1400000US36001002000","Census Tract 20, Albany County, New York","322","200","0","17","0","17","28","43","0","17","0","17","0","17","294","197",
"1400000US36001002100","Census Tract 21, Albany County, New York","227","93","45","47","69","62","0","12","0","12","0","12","0","12","113","77",
"1400000US36001002200","Census Tract 22, Albany County, New York","169","90","21","33","38","44","0","12","0","12","0","12","0","12","110","68",
"1400000US36001002300","Census Tract 23, Albany County, New York","230","106","47","45","0","12","0","12","0","12","0","12","0","12","183","102",
"1400000US36001002500","Census Tract 25, Albany County, New York","343","101","77","52","0","12","71","48","0","12","0","12","0","12","195","85",
"1400000US36001002600","Census Tract 26, Albany County, New York","547","166","93","69","0","12","54","63","0","12","0","12","0","12","400","155",
"1400000US36001012700","Census Tract 127, Albany County, New York","65","63","33","53","0","12","0","12","0","12","0","12","0","12","32","37",
"1400000US36001012800","Census Tract 128, Albany County, New York","414","172","48","53","18","28","0","12","0","12","0","12","0","12","348","169",
"1400000US36001012900","Census Tract 129, Albany County, New York","232","108","41","49","68","62","0","12","0","12","0","12","0","12","123","76",
"1400000US36001013000","Census Tract 130, Albany County, New York","233","139","86","90","0","17","0","17","0","17","0","17","0","17","147","114",
"1400000US36001013100","Census Tract 131, Albany County, New York","152","109","26","42","25","42","23","37","0","12","0","12","0","12","78","66",
"1400000US36001013200","Census Tract 132, Albany County, New York","161","89","25","33","0","12","27","47","0","12","0","12","0","12","109","75",
"1400000US36001013300","Census Tract 133, Albany County, New York","200","135","59","67","43","71","0","12","0","12","39","62","0","12","59","77",
"1400000US36001013400","Census Tract 134, Albany County, New York","251","98","20","31","0","12","40","36","0","12","0","12","0","12","191","95",
"1400000US36001013503","Census Tract 135.03, Albany County, New York","30","49","0","17","30","49","0","17","0","17","0","17","0","17","0","17",
"1400000US36001013505","Census Tract 135.05, Albany County, New York","71","50","0","12","0","12","0","12","0","12","0","12","0","12","71","50",
"1400000US36001013507","Census Tract 135.07, Albany County, New York","54","65","32","53","22","35","0","12","0","12","0","12","0","12","0","12",
"1400000US36001013509","Census Tract 135.09, Albany County, New York","149","138","0","12","0","12","149","138","0","12","0","12","0","12","0","12",
"1400000US36001013510","Census Tract 135.10, Albany County, New York","51","65","33","56","0","12","18","29","0","12","0","12","0","12","0","12",
"1400000US36001013511","Census Tract 135.11, Albany County, New York","18","30","0","12","0","12","0","12","18","30","0","12","0","12","0","12",
"1400000US36001013512","Census Tract 135.12, Albany County, New York","89","83","0","12","0","12","43","64","0","12","0","12","0","12","46","50",
"1400000US36001013602","Census Tract 136.02, Albany County, New York","119","99","0","12","20","32","57","89","0","12","0","12","0","12","42","43",
"1400000US36001013603","Census Tract 136.03, Albany County, New York","19","32","0","12","0","12","19","32","0","12","0","12","0","12","0","12",
"1400000US36001013604","Census Tract 136.04, Albany County, New York","328","195","77","125","44","66","0","17","0","17","47","73","0","17","160","117",
"1400000US36001013703","Census Tract 137.03, Albany County, New York","18","26","0","12","0","12","0","12","0","12","0","12","0","12","18","26",
"1400000US36001013706","Census Tract 137.06, Albany County, New York","20","24","0","12","0","12","0","12","15","23","0","12","0","12","5","8",
"1400000US36001013707","Census Tract 137.07, Albany County, New York","168","113","0","17","0","17","80","79","15","38","73","77","0","17","0","17",
"1400000US36001013708","Census Tract 137.08, Albany County, New York","129","113","0","12","0","12","0","12","41","64","0","12","0","12","88","98",
"1400000US36001013709","Census Tract 137.09, Albany County, New York","88","86","0","12","0","12","0","12","0","12","27","41","0","12","61","72",
"1400000US36001013802","Census Tract 138.02, Albany County, New York","97","88","0","12","0","12","59","69","0","12","0","12","0","12","38","52",
"1400000US36001013803","Census Tract 138.03, Albany County, New York","81","89","0","12","0","12","0","12","0","12","0","12","0","12","81","89",
"1400000US36001013804","Census Tract 138.04, Albany County, New York","121","104","54","83","0","12","18","34","0","12","0","12","0","12","49","73",
"1400000US36001013901","Census Tract 139.01, Albany County, New York","23","38","0","12","0","12","0","12","23","38","0","12","0","12","0","12",
"1400000US36001013902","Census Tract 139.02, Albany County, New York","106","96","0","17","0","17","48","78","0","17","0","17","0","17","58","64",
"1400000US36001014001","Census Tract 140.01, Albany County, New York","139","66","56","50","0","12","0","12","0","12","9","14","0","12","74","52",
