"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_002E","B25004_002M","B25004_003E","B25004_003M","B25004_004E","B25004_004M","B25004_005E","B25004_005M","B25004_006E","B25004_006M","B25004_007E","B25004_007M","B25004_008E","B25004_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!For rent","Margin of Error!!Total:!!For rent","Estimate!!Total:!!Rented, not occupied","Margin of Error!!Total:!!Rented, not occupied","Estimate!!Total:!!For sale only","Margin of Error!!Total:!!For sale only","Estimate!!Total:!!Sold, not occupied","Margin of Error!!Total:!!Sold, not occupied","Estimate!!Total:!!For seasonal, recreational, or occasional use","Margin of Error!!Total:!!For seasonal, recreational, or occasional use","Estimate!!Total:!!For migrant workers","Margin of Error!!Total:!!For migrant workers","Estimate!!Total:!!Other vacant","Margin of Error!!Total:!!Other vacant",
"1400000US36001000100","Census Tract 1, Albany County, New York","142","56","10","16","0","12","28","30","14","22","0","12","0","12","90","42",
"1400000US36001000200","Census Tract 2, Albany County, New York","814","172","137","103","95","85","51","61","0","12","0","12","0","12","531","152",
"1400000US36001000300","Census Tract 3, Albany County, New York","619","209","152","119","151","133","0","17","0","17","101","114","0","17","215","151",
"1400000US36001000401","Census Tract 4.01, Albany County, New York","130","63","89","53","0","12","23","31","0","12","0","12","0","12","18","22",
"1400000US36001000403","Census Tract 4.03, Albany County, New York","236","132","92","75","0","12","0","12","0","12","39","40","0","12","105","103",
"1400000US36001000404","Census Tract 4.04, Albany County, New York","60","76","0","17","47","73","0","17","0","17","0","17","0","17","13","20",
"1400000US36001000501","Census Tract 5.01, Albany County, New York","210","115","0","12","22","35","30","46","0","12","0","12","0","12","158","97",
"1400000US36001000502","Census Tract 5.02, Albany County, New York","104","63","13","21","0","12","0","12","8","12","13","21","0","12","70","55",
"1400000US36001000600","Census Tract 6, Albany County, New York","368","134","44","49","0","12","0","12","0","12","0","12","0","12","324","132",
"1400000US36001000700","Census Tract 7, Albany County, New York","554","139","82","60","0","12","68","50","15","25","0","12","0","12","389","118",
"1400000US36001000800","Census Tract 8, Albany County, New York","372","100","31","35","11","19","68","53","0","12","0","12","0","12","262","84",
"1400000US36001001100","Census Tract 11, Albany County, New York","195","77","64","50","16","27","0","12","0","12","0","12","0","12","115","71",
"1400000US36001001400","Census Tract 14, Albany County, New York","258","157","126","109","0","12","0","12","0","12","0","12","0","12","132","123",
"1400000US36001001500","Census Tract 15, Albany County, New York","493","191","338","155","111","99","0","12","0","12","0","12","0","12","44","60",
"1400000US36001001600","Census Tract 16, Albany County, New York","216","87","88","64","51","59","0","12","0","12","0","12","0","12","77","71",
"1400000US36001001700","Census Tract 17, Albany County, New York","193","109","154","103","0","12","0","12","0","12","0","12","0","12","39","48",
"1400000US36001001801","Census Tract 18.01, Albany County, New York","30","43","0","17","0","17","0","17","0","17","0","17","0","17","30","43",
"1400000US36001001802","Census Tract 18.02, Albany County, New York","221","100","20","34","38","59","44","66","0","12","0","12","0","12","119","72",
"1400000US36001001901","Census Tract 19.01, Albany County, New York","42","53","42","53","0","12","0","12","0","12","0","12","0","12","0","12",
"1400000US36001001902","Census Tract 19.02, Albany County, New York","164","90","17","28","32","50","0","12","0","12","0","12","0","12","115","78",
"1400000US36001002000","Census Tract 20, Albany County, New York","376","223","0","17","0","17","30","46","0","17","0","17","0","17","346","235",
"1400000US36001002100","Census Tract 21, Albany County, New York","282","117","34","43","83","77","0","12","0","12","0","12","0","12","165","87",
"1400000US36001002200","Census Tract 22, Albany County, New York","162","85","24","38","43","48","0","12","0","12","0","12","0","12","95","65",
"1400000US36001002300","Census Tract 23, Albany County, New York","251","91","73","54","0","12","0","12","0","12","0","12","0","12","178","84",
"1400000US36001002500","Census Tract 25, Albany County, New York","466","119","102","61","0","12","77","58","0","12","0","12","0","12","287","95",
"1400000US36001002600","Census Tract 26, Albany County, New York","600","169","95","76","0","12","61","68","0","12","0","12","0","12","444","157",
"1400000US36001012700","Census Tract 127, Albany County, New York","132","82","32","52","22","39","0","12","18","30","0","12","0","12","60","50",
"1400000US36001012800","Census Tract 128, Albany County, New York","364","121","45","51","39","44","0","12","42","47","0","12","0","12","238","108",
"1400000US36001012900","Census Tract 129, Albany County, New York","291","115","133","95","45","53","0","12","0","12","0","12","0","12","113","79",
"1400000US36001013000","Census Tract 130, Albany County, New York","196","137","41","56","0","17","0","17","0","17","0","17","0","17","155","122",
"1400000US36001013100","Census Tract 131, Albany County, New York","180","84","18","28","21","35","26","41","0","12","0","12","0","12","115","74",
"1400000US36001013200","Census Tract 132, Albany County, New York","184","95","31","38","0","12","0","12","0","12","0","12","0","12","153","91",
"1400000US36001013300","Census Tract 133, Albany County, New York","133","91","38","43","42","68","0","12","0","12","40","63","0","12","13","22",
"1400000US36001013400","Census Tract 134, Albany County, New York","253","108","20","29","0","12","47","40","0","12","0","12","0","12","186","96",
"1400000US36001013503","Census Tract 135.03, Albany County, New York","35","54","0","12","35","54","0","12","0","12","0","12","0","12","0","12",
"1400000US36001013505","Census Tract 135.05, Albany County, New York","79","47","0","12","0","12","0","12","0","12","20","30","0","12","59","48",
"1400000US36001013506","Census Tract 135.06, Albany County, New York","57","69","0","17","0","17","57","69","0","17","0","17","0","17","0","17",
"1400000US36001013507","Census Tract 135.07, Albany County, New York","27","31","0","12","20","34","0","12","0","12","7","12","0","12","0","12",
"1400000US36001013508","Census Tract 135.08, Albany County, New York","94","85","0","17","0","17","44","68","17","27","0","17","0","17","33","38",
